field name;type;description
gender;STRING;Customer gender that is already stored in categorical data that we captured from the person table in dwh_core.
date_of_birth;DATE;Customer date of birth based on Id card (KTP).
place_of_birth;STRING;Customer place of birth based on Id card (KTP). This is categorical data.
mother_maiden_name;STRING;Customer mother maiden name. Free-text information.
is_branch_registration;BOOLEAN;Determine whether a customer registered through a physical/conventional branch
customer_start_date;DATE;The time when the customer is acknowledged become a Jago Customer (when a customer has ACTIVE) status.
referred_by_referral_code;STRING;
first_campaign;STRING;
customer_referral_code;STRING;This field is paired with customer_id (1-on-1 relationship). The referral code field is used to track referral code used during customer registration process. When the code is used by another user, they are logged as referee and referrer.
affiliate_channel;STRING;Refers to the affiliate channel through which the customer registered with Jago by either using the URL or Campaign or Referral code.
jago_app_installation_status;STRING;Installation status is derived from Braze event tracking. Note this is status can be inaccurate and serves as a app installation indicator used for analytical purposes.
has_opened_app;BOOLEAN;
bod_flag;BOOLEAN;
dbt_inserted_at;TIMESTAMP;The time when DBT inserted the data to BigQuery
