field name;type;description
partner_credit_bureau_worst_dpd_last_3_months;NUMERIC;
partner_credit_bureau_worst_dpd_last_6_months;NUMERIC;
partner_credit_bureau_worst_dpd_last_12_months;NUMERIC;
partner_credit_bureau_worst_dpd_last_24_months;NUMERIC;
partner_credit_bureau_highest_total_balance_last_3_months;NUMERIC;
partner_credit_bureau_highest_total_balance_last_6_months;NUMERIC;
partner_credit_bureau_highest_total_balance_last_12_months;NUMERIC;
partner_credit_bureau_highest_total_balance_last_24_months;NUMERIC;
partner_credit_bureau_highest_limit;NUMERIC;
partner_credit_bureau_highest_balance;NUMERIC;
partner_credit_bureau_total_limit;NUMERIC;
partner_credit_bureau_min_month_of_booking;NUMERIC;
partner_credit_bureau_max_month_of_booking;NUMERIC;
partner_credit_bureau_number_of_new_facilities_last_3_months;NUMERIC;
partner_credit_bureau_number_of_loan_inquiries_last_3_months;NUMERIC;
partner_credit_bureau_latest_grade;STRING;
partner_credit_bureau_has_active_property_loan;BOOLEAN;
partner_credit_bureau_has_active_automotive_loan;BOOLEAN;
partner_credit_bureau_has_active_credit_card_loan;BOOLEAN;
partner_credit_bureau_number_of_active_facilities;NUMERIC;
partner_credit_bureau_number_of_new_facilities_last_month;NUMERIC;
partner_credit_bureau_number_of_new_facilities_last_6_months;NUMERIC;
partner_credit_bureau_number_of_new_facilities_last_12_months;NUMERIC;
partner_credit_bureau_number_of_loan_inquiries_last_month;NUMERIC;
partner_credit_bureau_number_of_loan_inquiries_last_6_months;NUMERIC;
partner_credit_bureau_number_of_loan_inquiries_last_12_months;NUMERIC;
partner_credit_bureau_number_of_creditors;NUMERIC;
partner_credit_bureau_max_tenure_in_months;NUMERIC;
partner_credit_bureau_number_of_active_restructured_facilities;NUMERIC;
scoring;FLOAT;
agent_code;STRING;
disbursement_date;DATE;The date in Jakarta Time when the loan gets disbursed.
flag_disbursed;BOOLEAN;
to_cbas;BOOLEAN;
cbas_score;INTEGER;
status_cbas_policy_check;STRING;
loan_application_created_at;TIMESTAMP;Represent the timestamp of loan application creation.
loan_application_updated_at;TIMESTAMP;Represent the last updated timestamp of the loan application.
loan_application_event_at;TIMESTAMP;The timestamp when this row for an entity became valid or effective.
cbas_hit_date;DATE;Represent a date when cbas for the loan hit.
cbas_hit;BOOLEAN;
imei_code;STRING;
start_date;DATE;The date in Jakarta Time when the loan starts.
maturity_date;DATE;
close_date;DATE;
loan_close_reason;STRING;
latest_record_event_at;TIMESTAMP;
dbt_inserted_at;TIMESTAMP;
remaining_tenor;INTEGER;The remaining tenor of the loan.
borrower_type_description;STRING;
gender_description;STRING;
borrower_id_code_description;STRING;
province_description;STRING;
city_description;STRING;
district_description;STRING;
sub_district_description;STRING;
source_of_income_description;STRING;
employer_industry_code_description;STRING;
marital_status_description;STRING;
citizen_description;STRING;
bank_description;STRING;
debtor_group_description;STRING;
debtor_code_description;STRING;
last_education_code_description;STRING;
profession_code_description;STRING;
credit_type_description;STRING;
credit_nature_description;STRING;
credit_category_description;STRING;
economy_sector_description;STRING;
purpose_of_loan_description;STRING;
purpose_of_opening_description;STRING;
usage_orientation_description;STRING;
portfolio_category_descriptions;STRING;
